File,Line,Message
_site/en/lessons/building-static-sites-with-jekyll-github-pages.html,1539,'a' tag is missing a reference
_site/en/lessons/calibrating-radiocarbon-dates-r.html,137,'a' tag is missing a reference
_site/en/lessons/calibrating-radiocarbon-dates-r.html,156,'a' tag is missing a reference
_site/en/lessons/calibrating-radiocarbon-dates-r.html,193,'a' tag is missing a reference
_site/en/lessons/calibrating-radiocarbon-dates-r.html,219,'a' tag is missing a reference
_site/en/lessons/cleaning-data-with-openrefine.html,121,'a' tag is missing a reference
_site/en/lessons/cleaning-data-with-openrefine.html,140,'a' tag is missing a reference
_site/en/lessons/cleaning-data-with-openrefine.html,177,'a' tag is missing a reference
_site/en/lessons/cleaning-data-with-openrefine.html,203,'a' tag is missing a reference
_site/en/lessons/cleaning-ocrd-text-with-regular-expressions.html,117,'a' tag is missing a reference
_site/en/lessons/cleaning-ocrd-text-with-regular-expressions.html,136,'a' tag is missing a reference
_site/en/lessons/cleaning-ocrd-text-with-regular-expressions.html,173,'a' tag is missing a reference
_site/en/lessons/cleaning-ocrd-text-with-regular-expressions.html,199,'a' tag is missing a reference
_site/en/lessons/clustering-visualizing-word-embeddings.html,135,'a' tag is missing a reference
_site/en/lessons/clustering-visualizing-word-embeddings.html,154,'a' tag is missing a reference
_site/en/lessons/clustering-visualizing-word-embeddings.html,191,'a' tag is missing a reference
_site/en/lessons/clustering-visualizing-word-embeddings.html,217,'a' tag is missing a reference
_site/en/lessons/clustering-with-scikit-learn-in-python.html,133,'a' tag is missing a reference
_site/en/lessons/clustering-with-scikit-learn-in-python.html,152,'a' tag is missing a reference
_site/en/lessons/clustering-with-scikit-learn-in-python.html,189,'a' tag is missing a reference
_site/en/lessons/clustering-with-scikit-learn-in-python.html,215,'a' tag is missing a reference
_site/en/lessons/code-reuse-and-modularity.html,119,'a' tag is missing a reference
_site/en/lessons/code-reuse-and-modularity.html,138,'a' tag is missing a reference
_site/en/lessons/code-reuse-and-modularity.html,175,'a' tag is missing a reference
_site/en/lessons/code-reuse-and-modularity.html,201,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,121,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,140,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,177,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,203,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,588,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,901,'a' tag is missing a reference
_site/en/lessons/collaborative-blog-with-jekyll-github.html,1394,'a' tag is missing a reference
_site/en/lessons/common-similarity-measures.html,133,'a' tag is missing a reference
_site/en/lessons/common-similarity-measures.html,152,'a' tag is missing a reference
_site/en/lessons/common-similarity-measures.html,189,'a' tag is missing a reference
_site/en/lessons/common-similarity-measures.html,215,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt1.html,141,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt1.html,160,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt1.html,197,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt1.html,223,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt2.html,141,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt2.html,160,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt2.html,197,'a' tag is missing a reference
_site/en/lessons/computer-vision-deep-learning-pt2.html,223,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-antconc.html,117,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-antconc.html,136,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-antconc.html,173,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-antconc.html,199,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-spacy.html,117,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-spacy.html,136,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-spacy.html,173,'a' tag is missing a reference
_site/en/lessons/corpus-analysis-with-spacy.html,199,'a' tag is missing a reference
_site/en/lessons/correspondence-analysis-in-R.html,137,'a' tag is missing a reference
_site/en/lessons/correspondence-analysis-in-R.html,156,'a' tag is missing a reference
_site/en/lessons/correspondence-analysis-in-R.html,193,'a' tag is missing a reference
_site/en/lessons/correspondence-analysis-in-R.html,219,'a' tag is missing a reference
_site/en/lessons/counting-frequencies.html,119,'a' tag is missing a reference
_site/en/lessons/counting-frequencies.html,138,'a' tag is missing a reference
_site/en/lessons/counting-frequencies.html,175,'a' tag is missing a reference
_site/en/lessons/counting-frequencies.html,201,'a' tag is missing a reference
_site/en/lessons/creating-an-omeka-exhibit.html,119,'a' tag is missing a reference
_site/en/lessons/creating-an-omeka-exhibit.html,138,'a' tag is missing a reference
_site/en/lessons/creating-an-omeka-exhibit.html,175,'a' tag is missing a reference
_site/en/lessons/creating-an-omeka-exhibit.html,201,'a' tag is missing a reference
_site/en/lessons/creating-and-viewing-html-files-with-python.html,119,'a' tag is missing a reference
_site/en/lessons/creating-and-viewing-html-files-with-python.html,138,'a' tag is missing a reference
_site/en/lessons/creating-and-viewing-html-files-with-python.html,175,'a' tag is missing a reference
_site/en/lessons/creating-and-viewing-html-files-with-python.html,201,'a' tag is missing a reference
_site/en/lessons/creating-apis-with-python-and-flask.html,120,'a' tag is missing a reference
_site/en/lessons/creating-apis-with-python-and-flask.html,139,'a' tag is missing a reference
_site/en/lessons/creating-apis-with-python-and-flask.html,176,'a' tag is missing a reference
_site/en/lessons/creating-apis-with-python-and-flask.html,202,'a' tag is missing a reference
_site/en/lessons/creating-guis-in-python-for-digital-humanities-projects.html,117,'a' tag is missing a reference
_site/en/lessons/creating-guis-in-python-for-digital-humanities-projects.html,136,'a' tag is missing a reference
_site/en/lessons/creating-guis-in-python-for-digital-humanities-projects.html,173,'a' tag is missing a reference
_site/en/lessons/creating-guis-in-python-for-digital-humanities-projects.html,199,'a' tag is missing a reference
_site/en/lessons/creating-mobile-augmented-reality-experiences-in-unity.html,117,'a' tag is missing a reference
_site/en/lessons/creating-mobile-augmented-reality-experiences-in-unity.html,136,'a' tag is missing a reference
_site/en/lessons/creating-mobile-augmented-reality-experiences-in-unity.html,173,'a' tag is missing a reference
_site/en/lessons/creating-mobile-augmented-reality-experiences-in-unity.html,199,'a' tag is missing a reference
_site/en/lessons/creating-network-diagrams-from-historical-sources.html,117,'a' tag is missing a reference
_site/en/lessons/creating-network-diagrams-from-historical-sources.html,136,'a' tag is missing a reference
_site/en/lessons/creating-network-diagrams-from-historical-sources.html,173,'a' tag is missing a reference
_site/en/lessons/creating-network-diagrams-from-historical-sources.html,199,'a' tag is missing a reference
