year,state,population
2010,Idaho,1567582
2010,Illinois,12830632
2010,Indiana,6483802
2010,Iowa,3046355
2010,Kansas,2853118
2010,Kentucky,4339367
2010,Louisiana,4533372
2010,Maine,1328361
2010,Maryland,5773552
2010,Massachusetts,6547629
2010,Michigan,9883640
2010,Minnesota,5303925
2010,Mississippi,2967297
2010,Missouri,5988927
2010,Montana,989415
2010,Nebraska,1826341
2010,Nevada,2700551
2010,New Hampshire,1316470
2010,New Jersey,8791894
2010,New Mexico,2059179
2010,New York,19378102
2010,North Carolina,9535483
2010,North Dakota,672591
2010,Ohio,11536504
2010,Oklahoma,3751351
2010,Oregon,3831074
2010,Pennsylvania,12702379
2010,Rhode Island,1052567
2010,South Carolina,4625364
2010,South Dakota,814180
2010,Tennessee,6346105
2010,Texas,25145561
2010,Utah,2763885
2010,Vermont,625741
2010,Virginia,8001024
2010,Washington,6724540
2010,West Virginia,1852994
2010,Wisconsin,5686986
2010,Wyoming,563626
2010,Puerto Rico,3725789
