companyId:ID(Company),name
480,ALGOMA STEAM LAUNDRY
481,ONTARIO AND QU'APPELLE LAND
482,GARTON PEDIGREE SEED
483,MANITOBA BRIDGE AND IRON WORKS
484,CANADIAN COLLERIES (DUNSMUIR)
485,MOND NICKEL
486,LONDON LIFE INSURANCE
487,SMALLMAN AND INGRAM
488,ONTARIO LOAN AND SAVINGS
489,MCELROY MANUFACTURING
490,OLIVER LUMBER
491,CANADIAN BOND HANGER AND COUPLING
492,TORONTO AUTO TOP AND BODY
493,HILLRUST WINE MANUFACTURING
494,ONTARIO WHEEL
495,CANADA AXE AND HARVEST TOOL MANUFACTURING
496,WELLAND YALE MANUFACTURING
497,MONTREAL STREET RAILWAY MUTUAL BENEFIT ASSOCIATION
498,MONTREAL HYDRO ELECTRIC
499,MONTREAL TERMINAL RAILWAY
500,SUBURBAN TRAMWAY AND POWER
501,MONTREAL TRAMWAYS
502,CANADIAN STREET RAILWAY ASSOCIATION
503,MONTREAL TUNNEL
504,ELECTRIC POWER COMPANY OF MONTREAL
505,MONTREAL SOUTH LAND AND IMPROVEMENT
506,MONTREAL STREET RAILWAY
507,MONTREAL PARK AND ISLAND RAILWAY
508,GAETZ
509,COBALT BOARD OF TRADE
510,CAMPBELL WILSON AND SMITH
511,DOVERCOURT LAND BUILDING AND SAVINGS
512,ACADIA TRUST
513,J N HARVEY
514,HARRIS ABATTOIR
515,JOHN MURPHY COMPANY MONTREAL QUE
516,IMPERIAL VARNISH AND COLOR
517,FANCY GOODS COMPANY OF CANADA
518,WM DAVIES
519,CANADIAN REAL ESTATE
520,CANADA STEEL
521,MISSISSIPPI RIVER POWER
522,SPICER COAL
523,ANDREWS TOGGERY
524,CROSSEN CAR
525,SYDNEY CEMENT
526,NATIONAL FINANCE
527,CALGARY SILICATE PRESSED BRICK
528,SHAW AND MASON
529,MACKAY AND MAXWELL
530,BRIGDEN RURAL TELEPHONE
531,INTERNATIONAL SANITARY
532,GIBBARD FURNITURE COMPANY OF NAPANEE
533,MERCHANTS RUBBER
534,AMES HOLDEN MCCREADY
535,ONTARIO FIRE INSURANCE
536,QUEBEC STEAMSHIP
537,BASIN ELECTRIC LIGHT AND POWER
538,PARKER WHYTE
539,RAT PORTAGE LUMBER
540,CARDIFF COLLIERIES
541,NORTHWESTERN BATTERY
542,NORTHERN CROWN BANK
543,MANITOBA BEACH
544,TORONTO LAUNDRY MACHINE
545,OWL DRUG
546,WARE COMPANY OF CANADA
547,MEYER THOMAS
548,NICOLA VALLEY COAL AND COKE
549,CANADIAN FINANCIERS
550,BLUE RIBBON
551,CANADA MALLEABLE AND STEEL RANGE MANUFACTURING
552,PATERSON MANUFACTURING
553,GEO W REED AND COMPANY
554,KENT FARMER'S PRODUCE
555,CANADA PERMANENT MORTGAGE CORPORATION
556,PICTOU QUARRIES
557,G T FULFORD
558,NATIONAL LIFE ASSURANCE COMPANY OF CANADA
559,ALASKA MIDLAND RAILWAY
560,CANADA SECURITIES CORPORATION
561,MEXICAN MAHOGANY AND RUBBER CORPORATION
562,INTERNATIONAL PORTLAND CEMENT COMPANY SPOKANE WASH
563,TORONTO FURNITURE
564,BRITISH COLUMBIA AND WHITE RIVER RAILWAY
565,MURRAY KAY
566,NORDHELMER PIANO AND MUSIC
567,CANADIAN PACIFIC HALLWAY
568,CANADIAN POWER
569,CENTRE STAR MINING
570,TORONTO SILVER PLATE
571,NIAGARA FALLS SUSPENSION BRIDGE
572,GENERAL ACCIDENT COMPANY OF CANADA
573,CANADA BREAD
574,FRENCH RIVER BOOM
575,MANITOBA AND SASKATCHEWAN COAL
576,CANADIAN SHREDDED WHEAT
577,ANDERSON MACBETH
578,CITY STORAGE
579,MARTIN PUMP AND MACHINE
580,HUNTER ROSE
581,WINDSOR BOARD OF TRADE
582,WINDSOR GAS
583,WINDSOR TRUCK AND STORAGE
584,ONTARIO ASPHALT BLOCK
585,STANDARD PAINT AND VARNISH COMPANY OF WINDSOR
586,CHANDLER AND FISHER
587,MANITOBA GYPSUM
588,CARTER HALLS ALDINGER
589,WALTER THOMSON AND SON
590,WHEATLEY TELEPHONE
591,MERIDEN BRITANNIA
592,NORTH AMERICAN LIFE ASSURANCE
593,CANADIAN ELEVATOR
594,GREAT NORTH WESTERN TELEGRAPH COMPANY OF CANADA
595,LA COMPAGNIE TRANS ST LAURENT
596,FRASERVILLE BOARD OF TRADE
597,LA SYNDIEAT DES TOURISTES INC
598,MONARCH KNITTING
599,CANADA LABEL AND WEBBING
600,RENFREW MACHINERY
601,RENFREW PLANING MILL
602,RENFREW KNITTING
603,UNION LIFE ASSURANCE
604,QUEBEC AND LEVIS FERRY
605,DENNIS WIRE AND IRON WORKS
606,STANLEY BROCK
607,BRANDON STEAM LAUNDRY
608,FARMERS' COOPERATIVE CREAMERY
609,GLACE BAY COOPERATIVE SOCIETY
610,SWAN RIVER CREAMERY
611,WEYBURN RURAL TELEPHONE
612,READ TIMBER AND LUMBER
613,TOMIKO MILLS
614,JAMES WILLAMSON WAREHOUSING
615,STERLING TRUSTS CORPORATION
616,SASKATCHEWAN COURIER PUBLISHING
617,ARUNDEL LUMBER
618,HULL LUMBER
619,SWANSON BAY FORESTS WOOD PULP AND LUMBER MILLS
620,RIORDON PAPER
621,KERR PATTON COAL
622,NORTH LANARK MARBLE AND GRANITE QUARRIES
623,HARDWARE SPECIALTIES
624,HYGENIC ICE
625,PENNIAC REEF GOLD MINES
626,CANADIAN ADVERTISING
627,BOUNDARY IRON WORKS
628,KERR ENGINE
629,HIRAM WALKER AND SONS
630,E M F COMPANY OF CANADA
631,C W LINDSAY
632,OTTAWA DAIRY
633,CONSOLIDATED HARDWARE MANUFACTURING
634,CANADIAN DRAWN STEEL
635,VERITY PLOW
636,W R BROCK
637,STOCK EXCHANGE
638,KINLEITH PAPER
639,W J GAGE AND COMPANY
640,EDUCATIONAL BOOK COMPANY OF TORONTO
641,CALGARY BREWING AND MALTING
642,MONCTON TRAMWAYS ELECTRICITY AND GAS
643,NEW BRUNSWICK WIRE FENCE
644,WESTERN STONE
645,MEN'S WEAR
646,MALE ATTIRE
647,5 IN 1 LETTER ENVELOPE
648,REAL ESTATE LOAN COMPANY OF CANADA
649,LONDON FOUNDRY
650,HAMILTON WAREHOUSE AND FORWARDING
651,WESTERN CANADA MOTOR CAR
652,NASMITHS
653,COMMERCIAL PRESS
654,MITCHELL REALTY
655,NORTHERN MINING
656,ABBEY REALTY
657,CANADIAN STREET CAR ADVERTISING
658,ORME REALTY
659,CANADIAN GENERAL DEVELOPMENT
660,PRESS COCKSHUTT PLOW
661,CANADIAN CONVERTERS
662,LOAN AND MORTGAGE
663,CANADIAN NIAGARA POWER
664,SHERBROOKE RAILWAY AND POWER
665,CLIFTON HOTEL
666,CANADA SASKATCHEWAN LAND
667,ST LAWRENCE RIVER STEAMBOAT
668,TEMPLE PATTISON
669,MACKAY COMPANIES
670,LONDON ROLLING MILL
671,JOHN WHITE
672,RURAL TELEPHONE
673,KENORA BOARD OF TRADE
674,CANADIAN BRODESSER ELEVATOR MANUFACTURING
675,SCHAAKE MACHINE WORKS
676,NEW WESTMINSTER BOARD OF TRADE
677,IMPERIAL TRUSTS COMPANY OF CANADA
678,COLONIAL INVESTMENT AND LOAN
679,PARIS BOARD OF TRADE
680,PETROLIA WAGON
681,FLETT LOWNDES AND COMPANY
682,LOWNDES
683,ALBERTA LINSEED OIL MILLS
684,BRIQUETTE FUEL
685,COLUMBIAN SYSTEMS
686,GEORGE WESTON
687,EMPIRE REFINING
688,ST HYACINTHE DISTILLERY
689,THERMOS BOTTLE
690,CANADIAN BOEING
691,COLLINS INLET LUMBER
692,ONTARIO LIMESTONE AND CLAY
693,ONTARIO MAY OATWAY FIRE ALARMS
694,AMERICAN MAY OATWAY FIRE ALARMS
695,INSTITUTE OF ELECTRICAL ENGINEERS WINNIPEG
696,NELSON COKE AND GAS
697,ECONOMICAL GAS APPARATUS CONSTRUCTION
698,IDEAL FENCE
699,WALPOLE RUBBER
700,E A SMALL
701,CANADA PAINT
702,FISHER FUEL ECONOMIZER
703,BUNTIN GILLIES AND COMPANY
704,THOMAS W BOWMAN AND SON
705,BROWN BROTHERS COMPANY NURSERYMEN
706,GEORGE FOSTER AND SONS
707,FOSTER AND HOLTERMANN
708,GLOBE FURNITURE
709,NEW ONTARIO BOTTLING WORKS
710,STANDARD PHOTO ENGRAVING
711,LAIDLAW LITHOGRAPHING
712,LAPORTE MARTIN AND CIE
713,BERLIN LION BREWERY
714,CLARE AND BROCKEST
715,DOOLITTLE AND WILCOX
716,NATIONAL BREWERIES
717,CANADIAN IMPORT
718,ST LAWRENCE STEVEDORING
719,W E SANFORD MANUFACTURING
720,CHATHAM GAS
721,JONES BROTHERS AND COMPANY
722,UPPER OTTAWA IMPROVEMENT
723,BULLETIN PUBLISHING COMPANY OF TORONTO
724,WALKERVILLE BREWING
725,TRUSSED CONCRETE STEEL COMPANY OF CANADA
726,ELMIRA MACHINERY AND TRANSMISSION
727,GREAT WEST FELT
728,ELMIRA INTERIOR WOODWORK
729,GIBSON MCCORMACK IRVIN
730,MARTIN FINLAYSON AND MATHER
731,BRITISH COLUMBIA PERMANENT LOAN
732,MIDLAND LOAN AND SAVINGS
733,JAMES M PURVIS
734,LOUISBURG ELECTRIC WATER AND POWER
735,CALGARY GAS
736,JAMES MUIR
737,MUNRO STEEL AND WIRE WORKS
738,MUNRO WIRE WORKS
739,W H DWYER
740,RENAUD AND CIE
741,ST MARTIN'S TELEPHONE
742,JOS L BLACK AND SONS
743,ROBINSON AND COMPANY
744,TORONTO YARN SPINNING
745,TORONTO CARPET MANUFACTURING
