"story_title","story_date_published","story_url","search_term_used"
"FINNISH STEAMER ISUBMARINED.","1915-05-01","http://newspapers.library.wales/view/4092395/4092402/125/","German+Submarine"
"STRUCK .HER STERN. I","1915-06-05","http://newspapers.library.wales/view/4092431/4092438/128/","German+Submarine"
"I ITALIAN STEAMER","1915-04-10","http://newspapers.library.wales/view/4092368/4092374/111/","German+Submarine"
"- I TRAWLER SUtK BY GUNFIRE.","1915-05-03","http://newspapers.library.wales/view/4099115/4099116/7/","German+Submarine"
"i IAWARD TO BRAVE CAPTAIN.","1915-01-28","http://newspapers.library.wales/view/4098344/4098351/97/","German+Submarine"
"[No title]","1914-09-26","http://newspapers.library.wales/view/4097218/4097221/17/","German+Submarine"
"COLLIER FIGHTS SUBMARINE1 I «.","1916-05-02","http://newspapers.library.wales/view/4101470/4101471/10/","German+Submarine"
"THE SUSSEX.|","1916-05-11","http://newspapers.library.wales/view/4101510/4101511/8/","German+Submarine"
"SAILING SHIP SUNK","1915-05-22","http://newspapers.library.wales/view/4099262/4099267/53/","German+Submarine"
"GERMAN PIRATE&apos;S FATE. ! !","1915-02-27","http://newspapers.library.wales/view/4098651/4098652/10/","German+Submarine"
"OUTRAGE ON SPAIN.I","1918-09-14","http://newspapers.library.wales/view/4105568/4105569/21/","German+Submarine"
"I BOLSHEVIK NEWS. I","1918-07-01","http://newspapers.library.wales/view/4105240/4105241/22/","German+Submarine"
"TIMBER LADEN SHIPS FIRED1","1916-08-17","http://newspapers.library.wales/view/4102044/4102045/23/","German+Submarine"
"TRAWLER TORPEDOED.______j","1915-04-23","http://newspapers.library.wales/view/4099047/4099052/87/","German+Submarine"
"FINNISH STEAMER TORPEDOED !","1915-04-24","http://newspapers.library.wales/view/4099056/4099057/19/","German+Submarine"
"TO-DAYS WAR RESUME I -","1917-06-16","http://newspapers.library.wales/view/4103612/4103613/29/","German+Submarine"
"CORN FOR COPENHAGEN.I","1917-06-18","http://newspapers.library.wales/view/4103617/4103618/10/","German+Submarine"
"I U BOAT INTERNED I","1915-11-08","http://newspapers.library.wales/view/4100357/4100358/28/","German+Submarine"
"SURPRISE FOR U BOATS.","1916-12-01","http://newspapers.library.wales/view/4102667/4102673/136/","German+Submarine"
"ILUSITANIA &quote;HERO.&quote;","1916-08-28","http://newspapers.library.wales/view/4102105/4102106/28/","German+Submarine"
"- - - - - - -_ =-MINES AND SUBMARINES.","1916-11-25","http://newspapers.library.wales/view/4102632/4102633/9/","German+Submarine"
"MACHICO NOT SUNK.","1916-11-22","http://newspapers.library.wales/view/4102611/4102614/73/","German+Submarine"
"16 LIVES LOST.I","1918-06-18","http://newspapers.library.wales/view/4105185/4105186/23/","German+Submarine"
"IMORE NEUTRALS SUNK.","1916-11-06","http://newspapers.library.wales/view/4102511/4102512/36/","German+Submarine"
"SPANISH SEAMEN WOUNDED","1917-08-07","http://newspapers.library.wales/view/4103838/4103839/9/","German+Submarine"
"NEARLY TIME, TOO I -","1915-06-16","http://newspapers.library.wales/view/4099427/4099428/27/","German+Submarine"
"TORPEDOED BRITISH SHIP. I","1915-03-11","http://newspapers.library.wales/view/4098737/4098738/11/","German+Submarine"
"I -ANOTHER STEAMER SUN.,","1915-03-29","http://newspapers.library.wales/view/4098870/4098875/88/","German+Submarine"
"! MORE STEAMERS SUNK I","1915-11-18","http://newspapers.library.wales/view/4100428/4100429/32/","German+Submarine"
"PRIZE FOR THORDIS. I","1915-03-30","http://newspapers.library.wales/view/4098879/4098880/7/","German+Submarine"
