comunidad_autonoma,provincia,poblacion,lat,lng
Andalucía,Granada,Ferreira,37.17229,-3.036083
Andalucía,Granada,Fonelas,37.41344,-3.173344
Andalucía,Granada,Freila,37.52869,-2.906795
Andalucía,Granada,Fuente Vaqueros,37.21957,-3.783053
Andalucía,Granada,Gabias (Las),37.135,-3.698333
Andalucía,Granada,Galera,37.74289,-2.551193
Andalucía,Granada,Gobernador,37.47737,-3.320455
Andalucía,Granada,Gójar,37.10443,-3.606203
Andalucía,Granada,Gor,37.36952,-2.969444
Andalucía,Granada,Gorafe,37.47902,-3.044275
Andalucía,Granada,Granada,37.17649,-3.597929
Andalucía,Granada,Guadahortuna,37.55655,-3.400713
Andalucía,Granada,Guadix,37.3004,-3.134583
Andalucía,Granada,Guajares (Los),36.84568,-3.61165
Andalucía,Granada,Gualchos,36.74357,-3.389869
Andalucía,Granada,Güejar Sierra,37.15992,-3.438619
Andalucía,Granada,Güevéjar,37.25698,-3.597678
Andalucía,Granada,Huélago,37.4198,-3.260146
Andalucía,Granada,Huéneja,37.17693,-2.948596
Andalucía,Granada,Huéscar,37.80949,-2.539663
Andalucía,Granada,Huétor de Santillán,37.21823,-3.517399
Andalucía,Granada,Huétor Tájar,37.19463,-4.047139
Andalucía,Granada,Huétor Vega,37.15238,-3.575904
Andalucía,Granada,Illora,37.28843,-3.879782
Andalucía,Granada,Itrabo,36.79948,-3.638711
Andalucía,Granada,Iznalloz,37.3927,-3.527549
Andalucía,Granada,Jayena,36.94883,-3.822807
Andalucía,Granada,Jerez del Marquesado,37.18385,-3.159872
Andalucía,Granada,Jete,36.79732,-3.668151
Andalucía,Granada,Jun,37.22064,-3.59443
Andalucía,Granada,Juviles,36.94825,-3.225788
Andalucía,Granada,Láchar,37.19508,-3.834064
Andalucía,Granada,Lanjarón,36.91806,-3.480488
Andalucía,Granada,Lanteira,37.1689,-3.138551
Andalucía,Granada,Lecrín,36.9477,-3.550382
Andalucía,Granada,Lentegí,36.8343,-3.674449
Andalucía,Granada,Lobras,36.92786,-3.212306
Andalucía,Granada,Loja,37.16884,-4.151471
Andalucía,Granada,Lugros,37.23069,-3.240909
Andalucía,Granada,Lújar,36.78755,-3.401651
Andalucía,Granada,Malahá (La),37.10146,-3.722502
Andalucía,Granada,Maracena,37.20568,-3.636805
Andalucía,Granada,Marchal,37.2962,-3.202323
Andalucía,Granada,Moclín,37.34158,-3.786422
Andalucía,Granada,Molvízar,36.78689,-3.607518
Andalucía,Granada,Monachil,37.13209,-3.539469
Andalucía,Granada,Montefrío,37.32097,-4.011364
Andalucía,Granada,Montejícar,37.57196,-3.5047
Andalucía,Granada,Montillana,37.50127,-3.672423
Andalucía,Granada,Moraleda de Zafayona,37.16977,-3.965147
Andalucía,Granada,Morelábor,37.43111,-3.310278
Andalucía,Granada,Motril,36.74467,-3.516718
Andalucía,Granada,Murtas,36.88737,-3.108971
Andalucía,Granada,Nevada,37,-3.016667
Andalucía,Granada,Nigüelas,36.97741,-3.539319
Andalucía,Granada,Nívar,37.25794,-3.577918
Andalucía,Granada,Ogíjares,37.11991,-3.607937
Andalucía,Granada,Orce,37.72141,-2.479451
Andalucía,Granada,Órgiva,36.90224,-3.42399
Andalucía,Granada,Otívar,36.81491,-3.681497
Andalucía,Granada,Otura,37.09431,-3.635073
Andalucía,Granada,Padul,37.02432,-3.626719
Andalucía,Granada,Pampaneira,36.94004,-3.361339
Andalucía,Granada,Pedro Martínez,37.50168,-3.230659
Andalucía,Granada,Peligros,37.23122,-3.629415
Andalucía,Granada,Peza (La),37.2756,-3.284761
Andalucía,Granada,Píñar,37.44337,-3.439418
Andalucía,Granada,Pinar (El),37.44337,-3.439418
Andalucía,Granada,Pinos Genil,37.16339,-3.502635
Andalucía,Granada,Pinos Puente,37.25146,-3.750995
Andalucía,Granada,Polícar,37.25764,-3.232102
Andalucía,Granada,Polopos,36.79553,-3.297135
Andalucía,Granada,Pórtugos,36.94241,-3.310386
Andalucía,Granada,Puebla de Don Fadrique,37.9579,-2.43508
Andalucía,Granada,Pulianas,37.22264,-3.608163
