ISSN,titulo, poblacion,comunidad_autonoma,comprende,año_inicio,año_final
2254-6952,Suplemento de Blanco y Negro,Madrid,Comunidad de Madrid,Del 1935 al 1936. Del n. 1 al n. 35,1935,1936
2253-9964,Tabacos (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (4/1932) al n. 51 (6/1936),1932,1936
2171-2484,La Taquigrafía española,Madrid,Comunidad de Madrid,Del 07/1927 al 01/1930. Del n. 1 al n. 11,1927,1930
2172-0657,¡Tararí! (Madrid),Madrid,Comunidad de Madrid,10/1934,1934,1934
2487-5848,La Tarde de Madrid (Madrid. 1986),Madrid,Comunidad de Madrid,Del 21/3/1986 al 18/11/1987,1986,1987
2171-6765,El Teatro (Madrid. 1870),Madrid,Comunidad de Madrid,Del 24/10/1870 al 19/01/1871. Del n. 1 al n. 8,1870,1871
1889-6634,Tecnológico nacional de agricultura artes industriales ciencias comercio y literatura,Madrid,Comunidad de Madrid,1834,1834,1834
1577-7375,Tecnologik@ (Barcelona. Ed. impresa),Madrid,Comunidad de Madrid,Del 2/11/2000 al 21/3/2002,2000,2002
2171-0961,El Telégrafo (Madrid. 1822),Madrid,Comunidad de Madrid,Del 08/07/1822 al 09/07/1822,1822,1822
1885-3684,The times (Madrid),Madrid,Comunidad de Madrid,Del 16/03/1919 al 28/06/1925. Del n. 308 al n. 401,1919,1925
2171-2476,The kon leche,Madrid,Comunidad de Madrid,Del 21/04/1912 al 23/10/1916,1912,1916
1889-8939,El Tiempo (Madrid. 1844),Madrid,Comunidad de Madrid,Del 1/4/1845 al 18/6/1847,1845,1847
0213-1951,Tiempo (Madrid. 1982),Madrid,Comunidad de Madrid,Del 2/1/1984 al 18/12/2009,1984,2009
2340-3918,La Tierra (Madrid),Madrid,Comunidad de Madrid,Del 16/12/1930 al 8/6/1935,1930,1935
0213-4594,Tierra firme (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (1935) al n. 3/4 (1936),1935,1936
0214-5677,El Tío Camorra (Ed. semanal),Madrid,Comunidad de Madrid,Del 01/09/1847 al 23/02/1848,1847,1848
2171-6579,El Tío Jindama,Madrid,Comunidad de Madrid,Del 15/06/1879 al 03/08/1883,1879,1883
2171-2573,El Tío y el sobrino,Madrid,Comunidad de Madrid,Del 11/08/1848 al 23/08/1848,1848,1848
1889-4607,La Tipografía (Madrid. 1866),Madrid,Comunidad de Madrid,Del 01/1866 al 12/1869,1866,1869
1889-4593,La Tipografía (Madrid. 1906),Madrid,Comunidad de Madrid,Del 10/1906 al 11/1907. Del n. 1 al n. 12,1906,1907
2174-6524,Tirabeque (Madrid. 1870),Madrid,Comunidad de Madrid,Del 21/08/1870 al 10/12/1870,1870,1870
2172-5152,El Toreo (Madrid. 1874),Madrid,Comunidad de Madrid,Del 06/04/1874 al 20/08/1927,1874,1927
2171-8539,Toros y toreros (Madrid. 1916),Madrid,Comunidad de Madrid,Del 07/03/1916 al 22/1/1918. Del n. 1 al n. 99,1916,1918
2173-4402,Le Tout Madrid,Madrid,Comunidad de Madrid,1917,1917,1917
2660-3373,El Trabajador mercantil,Madrid,Comunidad de Madrid,Del 7/1933 al 9/1934. Del n. 1 al 14,1933,1934
2171-1224,Trabajos extraordinarios del Restaurador,Madrid,Comunidad de Madrid,01/1823. Del n. 1 al n. 8,1823,1823
2171-2670,El Trabuco (Madrid),Madrid,Comunidad de Madrid,1822. Del n. 1 al n. 2,1822,1822
2172-6159,Transporte (Madrid. 1926),Madrid,Comunidad de Madrid,Del 1/1926 al 7/1935,1926,1935
2172-6248,Transporte U.G.T.,Madrid,Comunidad de Madrid,De n. 108 (8/1935) al n. 117 (12/1936),1935,1936
2486-6997,Transporte en guerra,Madrid,Comunidad de Madrid,Del 29/4/1937 al 15/3/1938. N. 1 22 y 23,1937,1938
2171-9772,Los Transportes férreos,Madrid,Comunidad de Madrid,Del 01/08/1903 al 24/11/1920,1903,1920
2253-7422,Trazos (Madrid),Madrid,Comunidad de Madrid,9/1934,1934,1934
1138-8870,Tribuna de actualidad,Madrid,Comunidad de Madrid,Del 30/5/1988 al 26/12/1994,1988,1994
2487-2873,El Trono y la constitución,Madrid,Comunidad de Madrid,Del 1/5/1853 al 3/6/1853,1853,1853
2253-9565,La Turbina (Valencia),Madrid,Comunidad de Madrid,Del 7/1927 al 7/1933. Del n. 1 al n. 10,1927,1933
2171-7168,Última hora del Popular,Madrid,Comunidad de Madrid,Del 10/03/1848 al 13/06/1848,1848,1848
2171-1267,La Última moda (Madrid),Madrid,Comunidad de Madrid,Del 12/01/1890 al 20/11/1921. Del n. 106 al n. 1568,1890,1921
0212-9922,V-ltra (Madrid),Madrid,Comunidad de Madrid,Del 27/01/1921 al 15/03/1922. Del n. 1 al n. 24,1921,1922
2487-2636,La Unión (Madrid. 1878),Madrid,Comunidad de Madrid,Del 27/07/1878 al 22/12/1880,1878,1880
1576-611X,La Unión (Madrid. 1882),Madrid,Comunidad de Madrid,Del 02/01/1882 al 08/10/1887,1882,1887
2172-7074,La Unión Hispano-Americana,Madrid,Comunidad de Madrid,Del n. 1 (11/11/1916) al n. 80 (6/1923),1916,1923
1578-0600,Unión Ibero-Americana,Madrid,Comunidad de Madrid,Del 5/1890 al 2/1926,1890,1926
2172-6612,Unión Monárquica,Madrid,Comunidad de Madrid,Del n. 93 (4/8/1930) al n. 107 (1/4/1931),1930,1931
1576-6071,La Unión Católica,Madrid,Comunidad de Madrid,Del 06/06/1887 al 14/02/1899,1887,1899
2172-6604,Unión patriótica,Madrid,Comunidad de Madrid,Del n. 1 (1/10/1926) al n. 92 (15/7/1930),1926,1930
2171-7478,Unión taurina,Madrid,Comunidad de Madrid,Del 29/3/1923 al 20/6/1923,1923,1923
1889-870X,El Universal (Madrid. 1820),Madrid,Comunidad de Madrid,Del 13/07/1820 al 23/04/1823. Del n. 1 al n. 365,1820,1823
0214-5707,El Universal (Madrid. 1834),Madrid,Comunidad de Madrid,Del 1/4/1834 al 18/5/1834,1834,1834
1889-8696,El Universal observador español,Madrid,Comunidad de Madrid,Del 1820 al 12/07/1820. Del n. 1 al n. 62,1820,1820
2173-2744,Urbe (Madrid),Madrid,Comunidad de Madrid,Del 06/06/1935 al 11/12/1935. Del n. 1 al n. 7,1935,1935
2565-3946,Varieté (Madrid),Madrid,Comunidad de Madrid,Del 3/12/1927 al 31/3/1928. Del n. 1 al n. 18,1927,1928
2173-4240,La Velada (Madrid),Madrid,Comunidad de Madrid,Del 05/12/1872 al 15/02/1873. Del n. 1 al  n. 8,1872,1873
2174-9809,La Velocidad (Madrid),Madrid,Comunidad de Madrid,Del 01/12/1921 al 12/1925. Del n. 22 al n. 70,1921,1925
0213-6325,La Veterinaria española,Madrid,Comunidad de Madrid,Del 10/9/1860 al 31/12/1925,1860,1925
2174-6567,Viajes por España (Madrid),Madrid,Comunidad de Madrid,Del 01/1928 al 12/1929. Del n. 1 al n. 8,1928,1929
2171-7494,Vida económica (Madrid),Madrid,Comunidad de Madrid,Del 19/12/1912 al 30/8/1936,1912,1936
2254-1713,La Vida española (Madrid. 1905),Madrid,Comunidad de Madrid,Del n. 1 (7/1/1905) al n. 31 (26/11/1905),1905,1905
2171-3138,Vida financiera,Madrid,Comunidad de Madrid,Del 10/01/1913 al 10/06/1933,1913,1933
2481-0029,Vida intelectual,Madrid,Comunidad de Madrid,Del 1907 al 1908,1907,1908
2171-536X,La Vida literaria (Madrid),Madrid,Comunidad de Madrid,Del 07/01/1899 al 27/07/1899. Del n. 1 al n. 29,1899,1899
2253-685X,Vida local,Madrid,Comunidad de Madrid,Del 30/1/1936 al 11/8/1937,1936,1937
2480-8830,Vida marítima,Madrid,Comunidad de Madrid,Del 10/01/1902 al 15/05/1934,1902,1934
2171-8245,Vida masónica,Madrid,Comunidad de Madrid,Del 03/1926 al 05/1932. Del n. 1 al n. 12,1926,1932
2171-1348,Vida nueva (Madrid. 1898),Madrid,Comunidad de Madrid,Del 12/06/1898 al 14/08/1898,1898,1898
2171-3316,Vida penitenciaria,Madrid,Comunidad de Madrid,Del 20/06/1932 al 30/06/1936. Del n. 1 al n. 142,1932,1936
1889-9412,Vida socialista,Madrid,Comunidad de Madrid,Del 02/01/1910 al 29/12/1912. Del n. 1 al n. 151,1910,1912
2171-1356,El Vigilante (Madrid),Madrid,Comunidad de Madrid,1820,1820,1820
2171-1364,La Violeta (Madrid),Madrid,Comunidad de Madrid,Del 07/12/1862 al 31/12/1866,1862,1866
1131-0502,La Visitadora sanitaria,Madrid,Comunidad de Madrid,Del n. 1 al 5. De 1934 a 1935,1934,1935
2171-9497,Le Volontaire de la liberté (Deutsche Ausg.),Madrid,Comunidad de Madrid,n. 26 (6/5/1937),1937,1937
1889-884X,Voluntad (Madrid. 1919),Madrid,Comunidad de Madrid,Del 12/10/1919 al 01/11/1920. Del n. 1 al n. 24,1919,1920
2387-0087,El Voluntario de Cuba,Madrid,Comunidad de Madrid,Del 6/10/1870 al 18/1/1871,1870,1871
1888-5179,La Voz de Galicia (Ed. España),Madrid,Comunidad de Madrid,2014-,2014,2023
1577-9882,La Voz de la caridad,Madrid,Comunidad de Madrid,Del 15/3/1870 al 15/12/1883,1870,1883
2530-3015,La Voz de la sanidad de la XV División,Madrid,Comunidad de Madrid,Del n. 1 (27/5/1937) al n. 25 (27/1/1938),1937,1938
2171-990X,La Voz del Hogar Cultural del Cuerpo de Seguridad de Madrid,Madrid,Comunidad de Madrid,Del n. 9 (30/07/1938) al n. 10 (10/08/1938),1938,1938
2172-1769,La Voz del combatiente,Madrid,Comunidad de Madrid,Del 1/1/1937 al 26/3/1939,1937,1939
2486-9414,La Voz del progreso (Madrid),Madrid,Comunidad de Madrid,Del 13/2/1982 al 23/3/1982,1982,1982
2171-2506,La Voz (Madrid),Madrid,Comunidad de Madrid,Del 01/07/1920 al 27/03/1939,1920,1939
1885-5865,XL semanal,Madrid,Comunidad de Madrid,8/1/2017-,2017,2023
1131-8570,Y (Madrid),Madrid,Comunidad de Madrid,Del 1/2/1938 al 1/12/1945,1938,1945
1699-8170,Yo dona,Madrid,Comunidad de Madrid,17/12/2016-,2016,2023
1697-5782,La Zambomba (Madrid),Madrid,Comunidad de Madrid,10/8/1857,1857,1857
1578-6552,La Zarzuela (Madrid. 1856),Madrid,Comunidad de Madrid,Del 4/2/1856 al 20/7/1857,1856,1857
2174-6575,El Zurriago (Madrid. 1821),Madrid,Comunidad de Madrid,Del 1821 al 1823. Del n. 1 al n. 94,1821,1823
2174-6605,El Zurriago (Madrid. 1841),Madrid,Comunidad de Madrid,Del 15/05/1841 al 15/06/1841. Del n. 1 al n. 10,1841,1941
2174-6583,El Zurriago número intermedio,Madrid,Comunidad de Madrid,Del 1821 al 1822. Del n. 1 al n. 3,1821,1822
2171-0600,Atalaya patriótico de Málaga,Málaga,Andalucía,Del 11/02/1809 al 01/07/1809,1809,1809
2444-0825,Diario Málaga Costa del Sol,Málaga,Andalucía,De 1999 a 2006,1999,2006
2173-240X,Estela (Málaga),Málaga,Andalucía,De 1/1935 a 4/1940,1935,1940
2171-3081,El Folletín (Correo de Andalucía),Málaga,Andalucía,Del 04/10/1874 al 31/12/1876,1874,1876
1885-0472,El Guadalhorce (Málaga),Málaga,Andalucía,Del 10/03/1839 al 27/12/1840,1839,1840
1698-1960,Málaga hoy (2004),Málaga,Andalucía,2015-,2015,2023
1575-3123,La Opinión de Málaga,Málaga,Andalucía,De 2000 a 2009,2000,2009
1887-5580,Revista de Andalucía,Málaga,Andalucía,Del 01/01/1874 al 01/01/1879. Del n. 1 al n. 16,1874,1879
2341-4715,El Rubí (Málaga),Málaga,Andalucía,Del 15/2/1846 al 30/11/1846,1846,1846
1885-9763,Sur (Málaga),Málaga,Andalucía,De 1999 a 2009. 2014-,1999,2009
1885-9763,Sur (Málaga),Málaga,Andalucía,De 1999 a 2009. 2014-,2014,2023
2444-2011,Sur (Málaga. Ed. Marbella Estepona Campo de Gibraltar),Málaga,Andalucía,2015-2020,2015,2020
1698-2428,Sur Deutsche Ausgabe,Málaga,Andalucía,2014-,2014,2023
1885-9828,Sur in English,Málaga,Andalucía,2014-,2014,2023
2386-365X,Sur na russkom,Málaga,Andalucía,2014-2020,2014,2020
1698-5907,La Unión ilustrada,Málaga,Andalucía,Del 05/09/1909 al 12/04/1931,1909,1931
0851-4135,Al-Motamid,Tetuán,Marruecos,Del 3/1947 al 1/1956. Del n. 1 al n. 33,1947,1956
9975-5793,Marruecos gráfico,Tetuán,Marruecos,Del 15/08/1926 al 03/10/1926,1926,1926
9959-9139,El Noticiero de Tetuán,Tetuán,Marruecos,Del 16/8/1860 al 13/2/1861,1860,1861
2444-0671,Melilla hoy,Melilla,Melilla,De 1999 a 2007,1999,2008
2386-205X,Sur (Ed. Melilla),Melilla,Melilla,2014-2021,2014,2021
2386-4966,El Telegrama de Melilla del siglo XXI,Melilla,Melilla,De 1999 a 2009,1999,2009
2253-6833,La Vanguardia (Melilla),Melilla,Melilla,N. 71 (24/11/1934),1934,1934
9970-7659,El Aristarco,México D.F.,México,1811. Del n. 2 al n. 9,1811,1811
9975-7192,Astrolabio americano,México D.F.,México,1719 y 1735,1719,1735
9942-0368,Calendario manual y guía de forasteros de México,México D.F.,México,1803,1803,1803
2395-8626,Caras y caretas (México DF),México D.F.,México,Del n. 1 (3/5/1902) al n. 5 (31/5/1902),1902,1902
9936-4980,Contemporáneos (México D.F.),México D.F.,México,De 07/1928 a 1930,1928,1930
9976-3877,Diálogo patriótico,México D.F.,México,Del 01/01/1810 al 02/01/1810. Del n. 14 al n. 15,1810,1810
9975-956X,Diario de México,México D.F.,México,Del 07/08/1808 al 12/09/1813,1808,1813
9973-0618,Diario de Veracruz,Veracruz,México,Del 08/12/1822 al 28/02/1823,1822,1823
0187-1099,Diario del Gobierno de la República Mexicana (1835),México D.F.,México,Del 6/10/1835 al 28/2/1846,1835,1846
0187-1110,Diario del Gobierno de la República Mexicana (1846),México D.F.,México,Del 7/8/1846 al 17/11/1860,1846,1860
0187-1080,Diario del Gobierno de los Estados Unidos Mexicanos,México D.F.,México,Del 10/2/1835 al 5/10/1835,1835,1835
0187-1102,Diario oficial del Gobierno Mexicano,México D.F.,México,Del 2/3/1846 al 6/8/1846,1846,1846
9945-5536,España día a día,México D.F.,México,Del 11/1939 al 4/1940,1939,1940
9970-8493,El Farol (Puebla de Los Ángeles),Puebla de Los Ángeles,México,04/10/1821,1821,1821
0187-1021,Gazeta de México (1728),México D.F.,México,Del n. 1 (1/1728) al n. 145 (12/1739),1728,1739
0188-3801,Gazeta de México (1784),México D.F.,México,Del 14/01/1784 al 30/12/1809,1784,1809
9969-6940,Gazeta del gobierno de México,México D.F.,México,Del 2/01/1810 al 9/02/1835,1810,1835
9974-1946,La Hoja suelta (México),México D.F.,México,25/8/1860,1860,1860
9974-2047,Informes presentados en la sesión ordinaria de ... / Supremo Consejo del Grado 33 para España y sus Dependencias,México D.F.,México,De 1948 a 1949,1948,1949
9974-192X,Linterna mágica o Semanario fisonómico (Sevilla. Reimp. en Méjico),México D.F.,México,1809. Del n. 1 al n. 6,1809,1809
9974-2055,Memoria / Supremo Consejo del Grado 33 R.E.A.A. para España y sus Dependencias,México D.F.,México,1950/1953,1950,1953
2488-7811,Memoria de Hacienda (Secretaría de Hacienda y Crédito Público),México D.F.,México,De 1855/1856 a 1856/1857,1855,1857
9974-1849,Memoria de marina presentada a las Cámaras,México D.F.,México,1827,1827,1827
0187-103X,Mercurio de México,México D.F.,México,Del n. 146 al n. 157 (1740/1742),1740,1742
9974-1911,Muerte política de la República Mexicana,México D.F.,México,Del n. 1 al n. 34. 1829,1829,1829
9975-598X,El Museo mexicano o Miscelánea pintoresca de amenidades curiosas é instructivas,México D.F.,México,Del 1843 al 1845,1843,1845
9974-1954,Novedades (México. 1911),México D.F.,México,31/1/1912. N. 6,1912,1912
9974-2039,Panorama de las señoritas,México D.F.,México,1842,1842,1842
9969-6525,Regeneración política de la República Mexicana,México D.F.,México,Del t. 2 n. 2 al t. 3 n. 16. De 1829 a 1830,1829,1830
9964-2735,República española,México D.F.,México,Del 15/5/1975 al 15/12/1977. Del n. 7 al n. 63,1975,1977
9970-8760,El Telégrafo de Guadalaxara,Guadalajara,México,Del 27/05/1811 al 10/06/1811,1811,1811
2660-2180,Águilas nueva,Águilas,Murcia,22/10/1911,1911,1911
2660-1451,El Aguileño (Águilas),Águilas,Murcia,19/9/1911,1911,1911
2444-5983,Armada (Cartagena),Cartagena,Murcia,Del n. 1 (27/2/1937) al n. 92 (26/11/1938),1937,1938
2171-2751,Artículos remitidos a los editores del Chismoso,Murcia,Murcia,Del 07/04/1822 al 21/04/1822. Del n. 1 al n. 3,1822,1822
1889-9560,El Censor político y literario de Murcia,Murcia,Murcia,Del 01/1821 al 07/04/1821,1821,1821
2171-2743,El Chismoso (Murcia),Murcia,Murcia,Del 15/02/1822 al 21/08/1822. Del n. 1 al n. 30,1822,1822
2174-727X,Correo de Murcia,Murcia,Murcia,Del 09/07/1808 al 31/10/1809,1808,1809
2660-2083,El Defensor de Fortuna,Murcia,Murcia,26/11/1911,1911,1911
2660-1605,El Diario (Cieza),Cieza,Murcia,6/4/1911,1911,1911
2488-1740,Diario de Santiago (Reimp. en Murcia),Murcia,Murcia,03/06/1808,1808,1808
2660-0137,Don Pelmacio,Murcia,Murcia,8/3/1911,1911,1911
2660-1745,En marcha (Abarán),Abarán,Murcia,30/4/1911,1911,1911
2660-2350,El Estímulo (Abanilla),Abanilla,Murcia,2/12/1911,1911,1911
2486-4404,Gazeta de Murcia,Murcia,Murcia,Del 15/07/1809 al 18/06/1814,1809,1814
2660-1478,El Jueves (Fortuna),Fortuna,Murcia,31/8/1911,1911,1911
2660-180X,Libertad (Cieza),Cieza,Murcia,26/2/1911,1911,1911
2171-0392,El Liberto (Murcia),Murcia,Murcia,Del 14/09/1820 al 30/03/1821,1820,1821
2660-163X,La Luz de la comarca,Murcia,Murcia,21/8/1910 o 10/9/1911,1910,1911
2173-9951,El Más allá del mañana,Murcia,Murcia,01/1936. N. 1,1936,1936
2660-2490,Murcia nueva,Murcia,Murcia,3/7/1910,1910,1910
2660-177X,La Opinión (Águilas),Águilas,Murcia,28/9/1911,1911,1911
1131-8198,La Opinión de Cartagena,Cartagena,Murcia,De 1999 a 2007,1999,2007
1131-8201,La Opinión de Murcia,Murcia,Murcia,De 1999 a 2007,1999,2007
2171-4037,Periódico constitucional titulado Cajón de sastres,Murcia,Murcia,Del 16/03/1822 al 28/03/1822,1822,1822
2171-4029,Periódico constitucional titulado Cajón de sastres murcianos,Murcia,Murcia,Del 01/03/1822 al 15/03/1822,1822,1822
2171-276X,El Redactor (Murcia),Murcia,Murcia,27/04/1822,1822,1822
2174-4327,Semanario de Cartagena,Murcia,Murcia,03/05/1821. N. 15,1821,1821
2174-629X,El Semanario murciano,Murcia,Murcia,Del 17/02/1878 al 01/01/1882,1878,1882
2174-632X,Semanario político,Murcia,Murcia,Del 11/05/1820 al 29/06/1820,1820,1820
1138-7823,La Verdad (Murcia),Murcia,Murcia,1999-2009. 2014-,1999,2009
1138-7823,La Verdad (Murcia),Murcia,Murcia,1999-2009. 2014-,2014,2023
1138-7858,La Verdad (Murcia. Ed. Cartagena),Cartagena,Murcia,2014-,2014,2023
1138-784X,La Verdad (Murcia. Ed. Lorca),Lorca,Murcia,2014-,2014,2023
2386-4621,La Verdad (Murcia. Ed. Orihuela Torrevieja Vega Baja),Orihuela,Murcia,2014-2017,2014,2017
2173-1438,El Amante de la infancia,Estella,Navarra,Del 10/1/1866 al 20/12/1867,1866,1867
1577-6301,Diario de Navarra,Pamplona,Navarra,2014-,2014,2023
1577-6263,Diario de Navarra (Ed. Tierra Estella),Estella,Navarra,2014-2020,2014,2020
1577-6255,Diario de Navarra (Ed. Tudela y Ribera),Tudela,Navarra,2014-2020,2014,2020
1576-5458,Diario de noticias (Pamplona),Pamplona,Navarra,1999 2002.07-2003  2014-,1999,2003
1576-5458,Diario de noticias (Pamplona),Pamplona,Navarra,1999 2002.07-2003  2014-,2014,2023
2487-9924,El Eco de Navarra,Pamplona,Navarra,Del 18/1/1883 al 8/12/1891,1883,1891
2340-5597,La Escuela y el hogar,Pamplona,Navarra,Del n. 1 (10/9/1893) al n. 18 (28/2/1894),1893,1894
2253-7651,La Joven Navarra,Pamplona,Navarra,Del n. 1 (16/2/1860) al n. 13 (16/5/1860),1860,1860
2253-9417,Navarra (Tudela),Tudela,Navarra,Del 14/11/1931 al 11/8/1934,1931,1934
2659-5451,Centro (Orense),Orense,Galicia,6/1977,1977,1977
2660-1656,Orense nuevo,Orense,Galicia,17/9/1911,1911,1911
2695-6063,El Practicante orensano,Orense,Galicia,1/10/1939,1939,1939
1134-7953,La Región (Orense. 1910),Orense,Galicia,1999-2004; 2006-2007,1999,2004
1134-7953,La Región (Orense. 1910),Orense,Galicia,1999-2004; 2006-2007,2006,2007
1888-4741,La Voz de Galicia (Ed. Ourense),Orense,Galicia,2014-,2014,2023
2481-9921,El Ateneo palentino,Palencia,Castilla y León,Del 1/1/1877 al 15/4/1879,1877,1879
1579-5462,Diario palentino (Palencia. 1998),Palencia,Castilla y León,De 1999 a 2009. 2014-,1999,2009
1579-5462,Diario palentino (Palencia. 1998),Palencia,Castilla y León,De 1999 a 2009. 2014-,2014,2023
2171-4878,El Norte de Castilla (Ed. de Palencia),Palencia,Castilla y León,De 1999 a 2007,1999,2007
2171-4878,El Norte de Castilla (Ed. de Palencia),Palencia,Castilla y León,De 1999 a 2007,2014,2014
2171-4878,El Norte de Castilla (Ed. de Palencia),Palencia,Castilla y León,De 1999 a 2007,2016,2016
2415-2943,Los Andes libres,Lima,Perú,Del 24/7/1821 al 21/8/1821,1821,1821
2413-6506,¡Arriba España! (Lima),Lima,Perú,Del n. 1 (11/1937) al n. 7/8 (5/1938),1937,1938
2524-8391,La Biblioteca columbiana,Lima,Perú,1/12/1821. n. 1,1821,1821
2415-2951,El Botafuego (Piura),Piura,Perú,Del 6/10/1828 al 30/4/1829,1828,1829
2415-296X,El Coco de Santa-Cruz,Santa Cruz,Perú,Del 17/9/1835 al 23/12/1835,1835,1835
9949-1710,Gaceta del Gobierno de Lima (1810),Lima,Perú,Del 06/05/1815 al 19/01/1821,1815,1821
2415-2978,La Prensa peruana,Lima,Perú,Del 29/1/1828 al 1/7/1829,1828,1829
1134-797X,Atlántico diario,Pontevedra,Galicia,De 1999 a 2007,1999,2007
2386-4109,Diario de Pontevedra,Pontevedra,Galicia,De 1999 a 2007. 2014-,1999,2007
2386-4109,Diario de Pontevedra,Pontevedra,Galicia,De 1999 a 2007. 2014-,2014,2023
1131-8163,Faro de Vigo,Vigo,Galicia,Del 3/11/1853 al 31/12/2009,1853,2009
1577-614X,El Gallego (Pontevedra),Pontevedra,Galicia,Del 01/12/1862 al 10/06/1863,1862,1863
2660-1885,Heraldo guardés,Pontevedra,Galicia,31/8/1907;19/10/1907,1907,1907
2487-5740,El Pueblo gallego,Pontevedra,Galicia,Del 27/1/1924 al 17/6/1979,1924,1979
2660-1966,El Restaurador (Vigo),Vigo,Galicia,25/11/1911,1911,1911
1888-4776,La Voz de Galicia (Ed. Pontevedra),Pontevedra,Galicia,2014-,2014,2023
1888-5098,La Voz de Galicia (Ed. Vigo),Vigo,Galicia,2014-,2014,2023
2173-6804,La Voz de Galicia (Ed. de Deza y Tabeirós),Deza y Tabeirós,Galicia,2014-,2014,2023
9969-4166,Gazeta de Lisboa,Lisboa,Portugal,Del 27/12/1808 al 26/12/1812,1808,1812
2182-7109,Mercurio lusitano,Lisboa,Portugal,Del 29/09/1813 al 28/06/1814,1813,1814
9970-8787,Telegrafo portuguez,Lisboa,Portugal,21/12/1813,1813,1813
2327-3143,Gazeta de Puerto-Rico,San Juan,Puerto Rico,Del 23/10/1811 al 04/11/1815,1811,1815
2444-1090,El Adelanto (Salamanca),Salamanca,Castilla y León,De 1999 a 2009,1999,2009
2481-9263,Béjar nueva,Salamanca,Castilla y León,22/10/1910,1910,1910
1577-0206,Correo político y literario de Salamanca,Salamanca,Castilla y León,Del 01/08/1808 al 08/10/1808,1808,1808
2529-9689,El Día de Salamanca,Salamanca,Castilla y León,2016-2018,2016,2018
2486-4218,Diario del gobierno de Salamanca y su provincia,Salamanca,Castilla y León,Del 30/06/1813 al 21/09/1813,1813,1813
2253-6051,El Estudiante (Salamanca),Salamanca,Castilla y León,Del 01/05/1925 al 10/01/1926,1925,1926
2660-2261,El Federal salmantino,Salamanca,Castilla y León,21/7/1872,1872,1872
2386-2122,La Gaceta regional de Salamanca,Salamanca,Castilla y León,De 1999 a 2009 2016-,1999,2009
2386-2122,La Gaceta regional de Salamanca,Salamanca,Castilla y León,De 1999 a 2009 2016-,2016,2023
2660-1303,El Granito (Salamanca),Salamanca,Castilla y León,5/1910,1910,1910
2695-4869,Heraldo de Guijuelo,Salamanca,Castilla y León,13/5/1911,1911,1911
2660-0900,El Látigo (Salamanca),Salamanca,Castilla y León,11/3/1911,1911,1911
2660-1893,La Llanura (Salamanca),Salamanca,Castilla y León,5/10/1909,1909,1909
2488-765X,La Lucha (Béjar),Salamanca,Castilla y León,8/4/1910,1910,1910
2660-1710,La Mariseca (Salamanca),Salamanca,Castilla y León,25/8/1907,1907,1907
2341-1171,El Norte de Castilla (Ed. de Salamanca),Salamanca,Castilla y León,2014-2022,2014,2022
2660-2466,El Porvenir (Salamanca),Salamanca,Castilla y León,24/6/1904,1904,1904
2660-6631,El Practicante salmantino,Salamanca,Castilla y León,Del 1/1926 al 4/1927. Del n. 1 al n. 16,1926,1927
2660-1877,El Quijote (Salamanca),Salamanca,Castilla y León,18/12/1910,1910,2023
2660-2385,El Salmantino (Salamanca. 1907),Salamanca,Castilla y León,25/2/1911,1911,1911
2171-0465,El Salmantino (Salamanca),Salamanca,Castilla y León,Del 03/03/1843 al 30/09/1843,1843,1843
2174-6265,Semanario de Salamanca,Salamanca,Castilla y León,Del 15/03/1794 al 27/09/1796. Del n. 48 al n. 370,1794,1796
2174-6257,Semanario erudito y curioso de Salamanca,Salamanca,Castilla y León,Del 01/10/1793 al 11/03/1794. Del n. 1 al n. 47,1793,1794
2174-6389,Tierra charra,Salamanca,Castilla y León,Del 16/10/1927 al 28/12/1930,1927,1930
2444-0728,Tribuna de Salamanca,Salamanca,Castilla y León,De 2002 a 2009,2002,2009
1138-7580,El Día (Santa Cruz de Tenerife. Ed. impresa),Santa Cruz de Tenerife,Canarias,Del 2/7/1996 al 31/12/2010,1996,2010
2386-4613,Diario de avisos (Santa Cruz de La Palma),Santa Cruz de la Palma,Canarias,Del 22/6/1899 al 31/12/2010,1899,2010
1576-3854,La Gaceta de Canarias,Santa Cruz de Tenerife,Canarias,Del 2/1/1999 al 31/12/2007,1999,2007
2660-2415,Germinal (Santa Cruz de Tenerife),Santa Cruz de Tenerife,Canarias,7/10/1911,1911,1911
2660-1982,Isla de la Palma (Partido Liberal-Conservador),Santa Cruz de Tenerife,Canarias,25/5/1910,1910,1910
1578-9799,Jornada deportiva (Santa Cruz de Tenerife),Santa Cruz de Tenerife,Canarias,Del 2/1/1999 al 18/8/2001,1999,2001
2174-9892,Nueva España (Tenerife),Santa Cruz de Tenerife,Canarias,Del n. 20 (6/1938) al n. 23 (9/1938),1938,1938
1575-8834,La Opinión de Tenerife,Santa Cruz de Tenerife,Canarias,Del 2/1/2001 al 31/12/2010,2001,2010
2660-2482,El Progreso (Santa Cruz de Tenerife),Santa Cruz de Tenerife,Canarias,31/5/1909;17/11/1911 ,1909,1911
2444-1074,El Adelantado de Segovia,Segovia,Castilla y León,De 1999 a 2009,1999,2009
2171-7605,Almanaque religioso astronómico histórico y estadístico de Segovia y su Provincia,Segovia,Castilla y León,1868,1868,1868
