Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
2007,Retraités,5295,84.3018627607069,baccalaureat général
2008,Retraités,5354,85.4998403066113,baccalaureat général
2009,Retraités,5548,86.9047619047619,baccalaureat général
2010,Retraités,5343,84.50102799304128,baccalaureat général
2011,Retraités,5377,85.40343074968234,baccalaureat général
2012,Retraités,5429,87.39536381197682,baccalaureat général
2013,Retraités,5451,90.80459770114942,baccalaureat général
2014,Retraités,5144,89.39867917970108,baccalaureat général
2015,Retraités,5063,90.29784198323524,baccalaureat général
2016,Retraités,5110,89.50779471010685,baccalaureat général
2017,Retraités,5071,89.49876456053653,baccalaureat général
2018,Retraités,5075,89.99822663592836,baccalaureat général
2019,Retraités,5386,91.50526673462453,baccalaureat général
2020,Retraités,4484,97.20355517017126,baccalaureat général
2021,Retraités,4878,96.70896114195084,baccalaureat général
2022,Retraités,4407,94.6927374301676,baccalaureat général
2023,Retraités,4326,93.69720597790773,baccalaureat général
2024,Retraités,4116,94.10150891632374,baccalaureat général
1997,Agriculteurs exploitants,4980,83.79606259464917,baccalauréat technologique
1998,Agriculteurs exploitants,5390,83.79975124378109,baccalauréat technologique
1999,Agriculteurs exploitants,5502,83.5028077098194,baccalauréat technologique
2000,Agriculteurs exploitants,5454,85.20543665052335,baccalauréat technologique
2001,Agriculteurs exploitants,5200,85.59670781893004,baccalauréat technologique
2002,Agriculteurs exploitants,4965,85.1045594789167,baccalauréat technologique
2003,Agriculteurs exploitants,4770,84.8,baccalauréat technologique
2004,Agriculteurs exploitants,4643,85.50644567219153,baccalauréat technologique
2005,Agriculteurs exploitants,4513,85.8964598401218,baccalauréat technologique
2006,Agriculteurs exploitants,4380,85.69751516337311,baccalauréat technologique
2007,Agriculteurs exploitants,2852,87.00427089688834,baccalauréat technologique
2008,Agriculteurs exploitants,2840,89.11201757138375,baccalauréat technologique
2009,Agriculteurs exploitants,2592,87.68606224627875,baccalauréat technologique
2010,Agriculteurs exploitants,2612,89.51336531871145,baccalauréat technologique
2011,Agriculteurs exploitants,2363,90.6058282208589,baccalauréat technologique
2012,Agriculteurs exploitants,2153,91.50021249468763,baccalauréat technologique
2013,Agriculteurs exploitants,2102,93.09123117803365,baccalauréat technologique
2014,Agriculteurs exploitants,2033,96.07750472589792,baccalauréat technologique
2015,Agriculteurs exploitants,1807,94.90546218487395,baccalauréat technologique
2016,Agriculteurs exploitants,1718,95.02212389380531,baccalauréat technologique
2017,Agriculteurs exploitants,1674,94.79048697621744,baccalauréat technologique
2018,Agriculteurs exploitants,1765,94.994617868676,baccalauréat technologique
2019,Agriculteurs exploitants,1528,93.91518131530424,baccalauréat technologique
2020,Agriculteurs exploitants,1166,97.41019214703425,baccalauréat technologique
2021,Agriculteurs exploitants,1336,97.58948137326516,baccalauréat technologique
2022,Agriculteurs exploitants,1291,96.12807148175726,baccalauréat technologique
2023,Agriculteurs exploitants,1235,95.73643410852713,baccalauréat technologique
2024,Agriculteurs exploitants,1206,96.09561752988049,baccalauréat technologique
1997,"Artisans, commerçants, chefs d'entreprise",14119,79.09803921568627,baccalauréat technologique
1998,"Artisans, commerçants, chefs d'entreprise",14619,80.90204759269507,baccalauréat technologique
1999,"Artisans, commerçants, chefs d'entreprise",14906,80.29952055163497,baccalauréat technologique
2000,"Artisans, commerçants, chefs d'entreprise",15078,80.89923811567765,baccalauréat technologique
2001,"Artisans, commerçants, chefs d'entreprise",14081,79.29830489384469,baccalauréat technologique
2002,"Artisans, commerçants, chefs d'entreprise",13145,78.2021536081861,baccalauréat technologique
2003,"Artisans, commerçants, chefs d'entreprise",13103,78.70142350891946,baccalauréat technologique
2004,"Artisans, commerçants, chefs d'entreprise",12742,79.000558001116,baccalauréat technologique
2005,"Artisans, commerçants, chefs d'entreprise",12433,78.6003287394108,baccalauréat technologique
2006,"Artisans, commerçants, chefs d'entreprise",12878,79.89825040327584,baccalauréat technologique
2007,"Artisans, commerçants, chefs d'entreprise",12046,82.1972023200273,baccalauréat technologique
2008,"Artisans, commerçants, chefs d'entreprise",12160,83.40192043895748,baccalauréat technologique
2009,"Artisans, commerçants, chefs d'entreprise",11954,82.29948364888124,baccalauréat technologique
2010,"Artisans, commerçants, chefs d'entreprise",12295,84.50171821305842,baccalauréat technologique
2011,"Artisans, commerçants, chefs d'entreprise",11821,85.09826506371031,baccalauréat technologique
2012,"Artisans, commerçants, chefs d'entreprise",11525,85.802561048243,baccalauréat technologique
2013,"Artisans, commerçants, chefs d'entreprise",11492,88.70021611608522,baccalauréat technologique
2014,"Artisans, commerçants, chefs d'entreprise",12240,92.69918206604059,baccalauréat technologique
2015,"Artisans, commerçants, chefs d'entreprise",11823,92.00062251964827,baccalauréat technologique
2016,"Artisans, commerçants, chefs d'entreprise",11647,92.50258120879994,baccalauréat technologique
2017,"Artisans, commerçants, chefs d'entreprise",11734,91.60031225604996,baccalauréat technologique
2018,"Artisans, commerçants, chefs d'entreprise",12887,90.30201107140354,baccalauréat technologique
2019,"Artisans, commerçants, chefs d'entreprise",12049,89.2981545986808,baccalauréat technologique
2020,"Artisans, commerçants, chefs d'entreprise",11086,95.80020739716558,baccalauréat technologique
2021,"Artisans, commerçants, chefs d'entreprise",11264,95.19945909398243,baccalauréat technologique
2022,"Artisans, commerçants, chefs d'entreprise",10404,91.99752409585287,baccalauréat technologique
2023,"Artisans, commerçants, chefs d'entreprise",10384,91.3039655324013,baccalauréat technologique
2024,"Artisans, commerçants, chefs d'entreprise",10677,90.79853729058594,baccalauréat technologique
1997,Autres personnes sans activité professionnelle,8679,71.19770303527481,baccalauréat technologique
1998,Autres personnes sans activité professionnelle,9388,73.09818578213813,baccalauréat technologique
1999,Autres personnes sans activité professionnelle,9291,71.50223179929198,baccalauréat technologique
2000,Autres personnes sans activité professionnelle,9474,73.00046232085067,baccalauréat technologique
2001,Autres personnes sans activité professionnelle,9144,70.90020935101187,baccalauréat technologique
2002,Autres personnes sans activité professionnelle,9379,70.10239928245758,baccalauréat technologique
2003,Autres personnes sans activité professionnelle,10496,71.40136054421768,baccalauréat technologique
2004,Autres personnes sans activité professionnelle,11252,69.29851573566546,baccalauréat technologique
2005,Autres personnes sans activité professionnelle,11938,69.49991267392443,baccalauréat technologique
2006,Autres personnes sans activité professionnelle,12657,71.39955999323067,baccalauréat technologique
2007,Autres personnes sans activité professionnelle,12673,72.59967919340055,baccalauréat technologique
2008,Autres personnes sans activité professionnelle,13212,73.49799732977303,baccalauréat technologique
